AuthorName	TitleName	TagName
Aguinaldo, Emilio	Reseña verídica de la Revolución Filipina	Literatura Universal
Aeschylus	The persians	Literatura Universal
Aeschylus	Prometheus bound	Literatura Universal
Adler, María Raquel	Místicas	Literatura Hispanoamericana
Acuña, Manuel	Selección de poemas (Acuña, Manuel)	Literatura Hispanoamericana
Acosta, Soledad	La mujer en la sociedad moderna	Historia y Novela histórica
Acosta, Soledad	La mujer en la sociedad moderna	Ensayo
Acosta, Soledad	La mujer en la sociedad moderna	Autoayuda
Acosta, José de	Historia Natural y moral de las Indias	Historia y Novela histórica
About, Edmond	La nariz de un notario	Literatura Universal
Abenza y Rodríguez, Aureliano	Los caminos para el éxito	Ensayo
Abenza y Rodríguez, Aureliano	Los caminos para el éxito	Autoayuda
